SPCODE,ORDER,SUBORDER,FAMILY,FAMILY NAMES,GENUS,SPECIES,COMMON NAME
055,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,europaeus,Gervais' beaked whale
056,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,bidens,Sowerby's beaked whale
057,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,ginkgodens,Ginkgo-toothed beaked whale
058,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,grayi,Gray's beaked whale
059,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,densirostris,Blaineville's beaked whale
060,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,layardii,Strap-toothed whale
061,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Ziphius,cavirostris,Cuvier's beaked whale
062,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Berardius,arnuxii,Arnoux's beaked whale
063,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Berardius,bairdii,Baird's beaked whale
064,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Tasmacetus,sheperdii,Sheperd's beaked whale
065,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,pacificus,Longman's beaked whale
066,CETACEA,MYSTICETI,BALAENIDAE,RIGHT WHALES,Eubalaena,glacialis,Northern right whale
067,CETACEA,MYSTICETI,BALAENIDAE,RIGHT WHALES,Balaena,mysticetus,Bowhead whale
068,CETACEA,MYSTICETI,NEOBALAENIDAE,PYGMY RIGHT WHALES,Caperea,marginata,Pygmy right whale
069,CETACEA,MYSTICETI,ESCHRICTIDAE,GRAY WHALE,Eschrictius,robustus,Gray whale
070,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,,Unidentified Rorqual
071,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,acutorostrata,Minke whale
072,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,edeni,Bryde's whale
073,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,borealis,Sei whale
074,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,physalus,Fin whale
075,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,musculus,Blue whale
076,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Megaptera,novaeangliae,Humpback whale
077,CETACEA,,UNIDENTIFIED,,Unidentified dolphin or porpoise,,Unidentified dolphin or porpoise
078,CETACEA,,UNIDENTIFIED,,Unidentified small whale,,Unidentified small whale
079,CETACEA,,UNIDENTIFIED,,Unidentified large whale,,Unidentified large whale
080,CETACEA,ODONTOCETI,KOGIIDAE,SPERM WHALES,Kogia,sp.,Unidentified Kogia
081,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,stejnegeri,Steigner's beaked whale
082,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,mirus,True's beaked whale
083,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,sp. A,Unnamed beaked whale
084,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Hyperoodon,ampullatus,Northern bottlenose whale
085,CETACEA,ODONTOCETI,MONODONTIDAE,NARWHAL & WHITE WHALE,Monodon,monocerus,Narwhal
086,CETACEA,MYSTICETI,BALAENIDAE,RIGHT WHALES,Eubalaena,australis,Southern right whale
087,CETACEA,ODONTOCETI,PONTOPORIIDAE,RIVER DOLPHINS,Pontoporia,blainvillei,Franciscana river dolphin
088,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris centroamericana,Central American spinner dolphin
089,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,attenuata/plagidon,Unidentified spotted dolphin-Atlantic
090,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,attenuata subsp.,Unidentified pantropical spotted dolphin
091,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,frontalis,Atlantic spotted dolphin
092,CETACEA,ODONTOCETI,PLATANISTIDAE,RIVER DOLPHINS,Platanista,gangetica,Ganges river dolphin
093,CETACEA,ODONTOCETI,PLATANISTIDAE,RIVER DOLPHINS,Platanista,minor,Indus river dolphin
094,CETACEA,ODONTOCETI,INIIDAE,RIVER DOLPHINS,Inia,geoffrensis,Amazon river dolphin
095,CETACEA,ODONTOCETI,PONTOPORIIDAE,RIVER DOLPHINS,Lipotes,vexillifer,Baiji river dolphin
096,CETACEA,,UNIDENTIFIED,,Unidentified cetacean,,Unidentified cetacean
097,CETACEA,,UNIDENTIFIED,,"Unidentified object, possible marine mammal",,"Unidentified object, possible marine mammal"
098,CETACEA,,UNIDENTIFIED,,Unidentified whale,,Unidentified whale
099,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,borealis/edeni,"Rorqual, Sei or Bryde's whale"
100,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris subsp.?,Tres Marias spinner dolphin
101,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris subsp.?,Southwestern spinner dolphin
102,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris longirostris,"Gray's spinner dolphin, pantropical spinner"
103,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,orientalis/centroamericana,Undetermined Eastern or Central American spinner d
104,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,bonaerensis,Antarctic minke whale
105,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Tursiops,aduncus,Indian Ocean bottlenose dolphin
106,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,traversii,Spade-toothed beaked whale
107,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris roseiventris,Dwarf spinner dolphin
108,CETACEA,MYSTICETI,BALAENIDAE,RIGHT WHALES,Eubalaena,glacialis,North Atlantic right whale
109,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,perrini,Perrin's beaked whale
110,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcinus,orca,Transient killer whale
111,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcinus,orca,Resident killer whale
112,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcinus,orca,Offshore killer whale
113,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcinus,orca,Type A Antarctic killer whale
114,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcinus,orca,Type B Antarctic killer whale
115,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcinus,orca,Type C Antarctic killer whale
177,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Unid,,"Unidentified small delphinid (e.g., Delphinus, Lag"
277,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Unid,,"Unidentified medium delphinid (e.g., Feresa, Gramp"
377,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Unid,,"Unidentified large delphinid (e.g., Pseudorca, Orc"
477,CETACEA,ODONTOCETI,PHOCOENIDAE,PORPOISES,Unid,,"Unidentified porpoise (e.g., Phocoena or Phocoenoi"
800,,,,,,,"Wooly mammoth (in temporary use only, 9/20/2004)"
801,,,,,,,"Bison species (in temporary use only, 9/20/2004)"
AA,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Arctocephalus,australis,South American fur seal
AF,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Arctocephalus,forsteri,New Zealand fur seal
AG,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Arctocephalus,galapagoensis,Galapagos fur seal
AT,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Arctocephalus,townsendi,Guadalupe fur seal
AZ,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Arctocephalus,gazella,Antarctic fur seal
CC,CHELONIA,,CHELONIDAE,SEA TURTLES,Caretta,caretta,Loggerhead
CM,CHELONIA,,CHELONIDAE,SEA TURTLES,Chelonia,mydas,Green turtle
CT,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Cystophora,cristata,Hooded seal
CU,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Calorhinus,ursinus,Northern fur seal
DC,CHELONIA,,DERMOCHELYIDAE,SEA TURTLES,Dermochelys,coriacea,Leatherback
EB,CARNIVORA,PINNIPEDIA,PHOCIDAE,SEALS,Erignathus,barbatus,Bearded seal
EI,CHELONIA,,CHELONIDAE,SEA TURTLES,Eretmochelys,imbricata,Hawksbill
EJ,CARNIVORA,PINNIPEDIA,OTARIIDAE,SEA LIONS & FUR SEALS,Eumetopias,jubatus,Stellar sea lion
